Timestamp,Year,Month,Hour,Ontario Demand,Market_Price,Price_Type
2019-01-01 00:00:00,2019,1,1,13198,0.0,HOEP (Legacy)
2019-01-01 01:00:00,2019,1,2,12737,0.0,HOEP (Legacy)
2019-01-01 02:00:00,2019,1,3,12531,-0.11,HOEP (Legacy)
2019-01-01 03:00:00,2019,1,4,12291,-1.84,HOEP (Legacy)
2019-01-01 04:00:00,2019,1,5,12305,-0.47,HOEP (Legacy)
2019-01-01 05:00:00,2019,1,6,12559,-0.03,HOEP (Legacy)
2019-01-01 06:00:00,2019,1,7,13009,-2.93,HOEP (Legacy)
2019-01-01 07:00:00,2019,1,8,13234,-0.03,HOEP (Legacy)
2019-01-01 08:00:00,2019,1,9,13558,0.0,HOEP (Legacy)
2019-01-01 09:00:00,2019,1,10,13973,0.0,HOEP (Legacy)
2019-01-01 10:00:00,2019,1,11,14207,2.7,HOEP (Legacy)
2019-01-01 11:00:00,2019,1,12,14391,0.0,HOEP (Legacy)
2019-01-01 12:00:00,2019,1,13,14442,0.0,HOEP (Legacy)
2019-01-01 13:00:00,2019,1,14,14427,0.38,HOEP (Legacy)
2019-01-01 14:00:00,2019,1,15,14557,2.32,HOEP (Legacy)
2019-01-01 15:00:00,2019,1,16,15000,7.22,HOEP (Legacy)
2019-01-01 16:00:00,2019,1,17,16064,8.41,HOEP (Legacy)
2019-01-01 17:00:00,2019,1,18,17232,21.51,HOEP (Legacy)
2019-01-01 18:00:00,2019,1,19,17278,30.18,HOEP (Legacy)
2019-01-01 19:00:00,2019,1,20,17055,31.16,HOEP (Legacy)
2019-01-01 20:00:00,2019,1,21,16834,26.89,HOEP (Legacy)
2019-01-01 21:00:00,2019,1,22,16320,15.67,HOEP (Legacy)
2019-01-01 22:00:00,2019,1,23,15521,10.99,HOEP (Legacy)
2019-01-01 23:00:00,2019,1,24,14944,15.85,HOEP (Legacy)
2019-01-02 00:00:00,2019,1,1,14631,33.45,HOEP (Legacy)
2019-01-02 01:00:00,2019,1,2,14240,14.75,HOEP (Legacy)
2019-01-02 02:00:00,2019,1,3,14021,13.36,HOEP (Legacy)
2019-01-02 03:00:00,2019,1,4,13924,13.33,HOEP (Legacy)
2019-01-02 04:00:00,2019,1,5,14183,10.23,HOEP (Legacy)
2019-01-02 05:00:00,2019,1,6,14813,6.4,HOEP (Legacy)
2019-01-02 06:00:00,2019,1,7,16096,10.94,HOEP (Legacy)
2019-01-02 07:00:00,2019,1,8,17129,16.0,HOEP (Legacy)
2019-01-02 08:00:00,2019,1,9,17438,19.32,HOEP (Legacy)
2019-01-02 09:00:00,2019,1,10,17409,19.29,HOEP (Legacy)
2019-01-02 10:00:00,2019,1,11,17392,25.5,HOEP (Legacy)
2019-01-02 11:00:00,2019,1,12,17407,32.24,HOEP (Legacy)
2019-01-02 12:00:00,2019,1,13,17611,32.35,HOEP (Legacy)
2019-01-02 13:00:00,2019,1,14,17850,32.37,HOEP (Legacy)
2019-01-02 14:00:00,2019,1,15,17997,31.07,HOEP (Legacy)
2019-01-02 15:00:00,2019,1,16,18464,35.96,HOEP (Legacy)
2019-01-02 16:00:00,2019,1,17,18802,36.83,HOEP (Legacy)
2019-01-02 17:00:00,2019,1,18,19666,49.08,HOEP (Legacy)
2019-01-02 18:00:00,2019,1,19,19285,36.02,HOEP (Legacy)
2019-01-02 19:00:00,2019,1,20,19136,50.93,HOEP (Legacy)
2019-01-02 20:00:00,2019,1,21,18737,88.6,HOEP (Legacy)
2019-01-02 21:00:00,2019,1,22,17961,40.61,HOEP (Legacy)
2019-01-02 22:00:00,2019,1,23,16811,9.99,HOEP (Legacy)
2019-01-02 23:00:00,2019,1,24,15879,5.14,HOEP (Legacy)
2019-01-03 00:00:00,2019,1,1,15236,0.0,HOEP (Legacy)
2019-01-03 01:00:00,2019,1,2,14589,0.96,HOEP (Legacy)
2019-01-03 02:00:00,2019,1,3,14349,0.0,HOEP (Legacy)
2019-01-03 03:00:00,2019,1,4,14024,0.0,HOEP (Legacy)
2019-01-03 04:00:00,2019,1,5,14074,0.0,HOEP (Legacy)
2019-01-03 05:00:00,2019,1,6,14539,0.0,HOEP (Legacy)
2019-01-03 06:00:00,2019,1,7,15604,1.48,HOEP (Legacy)
2019-01-03 07:00:00,2019,1,8,16668,16.38,HOEP (Legacy)
2019-01-03 08:00:00,2019,1,9,17220,56.14,HOEP (Legacy)
2019-01-03 09:00:00,2019,1,10,17670,86.45,HOEP (Legacy)
2019-01-03 10:00:00,2019,1,11,17858,17.37,HOEP (Legacy)
2019-01-03 11:00:00,2019,1,12,17719,12.73,HOEP (Legacy)
2019-01-03 12:00:00,2019,1,13,17417,8.4,HOEP (Legacy)
2019-01-03 13:00:00,2019,1,14,17471,13.35,HOEP (Legacy)
2019-01-03 14:00:00,2019,1,15,17657,14.0,HOEP (Legacy)
2019-01-03 15:00:00,2019,1,16,17777,14.15,HOEP (Legacy)
2019-01-03 16:00:00,2019,1,17,18230,18.8,HOEP (Legacy)
2019-01-03 17:00:00,2019,1,18,18803,18.48,HOEP (Legacy)
2019-01-03 18:00:00,2019,1,19,18414,9.49,HOEP (Legacy)
2019-01-03 19:00:00,2019,1,20,18182,13.65,HOEP (Legacy)
2019-01-03 20:00:00,2019,1,21,17868,14.24,HOEP (Legacy)
2019-01-03 21:00:00,2019,1,22,17048,8.53,HOEP (Legacy)
2019-01-03 22:00:00,2019,1,23,16071,0.87,HOEP (Legacy)
2019-01-03 23:00:00,2019,1,24,15024,0.0,HOEP (Legacy)
2019-01-04 00:00:00,2019,1,1,14378,0.0,HOEP (Legacy)
2019-01-04 01:00:00,2019,1,2,13862,0.0,HOEP (Legacy)
2019-01-04 02:00:00,2019,1,3,13622,0.0,HOEP (Legacy)
2019-01-04 03:00:00,2019,1,4,13464,0.0,HOEP (Legacy)
2019-01-04 04:00:00,2019,1,5,13560,-0.01,HOEP (Legacy)
2019-01-04 05:00:00,2019,1,6,13984,0.0,HOEP (Legacy)
2019-01-04 06:00:00,2019,1,7,15038,0.0,HOEP (Legacy)
2019-01-04 07:00:00,2019,1,8,15999,2.32,HOEP (Legacy)
2019-01-04 08:00:00,2019,1,9,16178,0.0,HOEP (Legacy)
2019-01-04 09:00:00,2019,1,10,16297,1.81,HOEP (Legacy)
2019-01-04 10:00:00,2019,1,11,16269,10.97,HOEP (Legacy)
2019-01-04 11:00:00,2019,1,12,16171,13.34,HOEP (Legacy)
2019-01-04 12:00:00,2019,1,13,15948,5.91,HOEP (Legacy)
2019-01-04 13:00:00,2019,1,14,15733,8.38,HOEP (Legacy)
2019-01-04 14:00:00,2019,1,15,15513,5.56,HOEP (Legacy)
2019-01-04 15:00:00,2019,1,16,15878,6.67,HOEP (Legacy)
2019-01-04 16:00:00,2019,1,17,16633,11.39,HOEP (Legacy)
2019-01-04 17:00:00,2019,1,18,17738,22.05,HOEP (Legacy)
2019-01-04 18:00:00,2019,1,19,17658,22.27,HOEP (Legacy)
2019-01-04 19:00:00,2019,1,20,17425,13.35,HOEP (Legacy)
2019-01-04 20:00:00,2019,1,21,17038,26.72,HOEP (Legacy)
2019-01-04 21:00:00,2019,1,22,16647,29.3,HOEP (Legacy)
2019-01-04 22:00:00,2019,1,23,15772,24.98,HOEP (Legacy)
2019-01-04 23:00:00,2019,1,24,14740,23.0,HOEP (Legacy)
2019-01-05 00:00:00,2019,1,1,13781,13.16,HOEP (Legacy)
2019-01-05 01:00:00,2019,1,2,13223,1.43,HOEP (Legacy)
2019-01-05 02:00:00,2019,1,3,12984,5.81,HOEP (Legacy)
2019-01-05 03:00:00,2019,1,4,12882,5.75,HOEP (Legacy)
2019-01-05 04:00:00,2019,1,5,12994,5.91,HOEP (Legacy)
2019-01-05 05:00:00,2019,1,6,13167,5.95,HOEP (Legacy)
2019-01-05 06:00:00,2019,1,7,13641,10.25,HOEP (Legacy)
2019-01-05 07:00:00,2019,1,8,14488,10.3,HOEP (Legacy)
2019-01-05 08:00:00,2019,1,9,15072,33.92,HOEP (Legacy)
2019-01-05 09:00:00,2019,1,10,15504,17.63,HOEP (Legacy)
2019-01-05 10:00:00,2019,1,11,15764,49.6,HOEP (Legacy)
2019-01-05 11:00:00,2019,1,12,16042,65.43,HOEP (Legacy)
2019-01-05 12:00:00,2019,1,13,16056,15.71,HOEP (Legacy)
2019-01-05 13:00:00,2019,1,14,15840,15.38,HOEP (Legacy)
2019-01-05 14:00:00,2019,1,15,15761,14.03,HOEP (Legacy)
2019-01-05 15:00:00,2019,1,16,15859,13.32,HOEP (Legacy)
2019-01-05 16:00:00,2019,1,17,16343,5.67,HOEP (Legacy)
2019-01-05 17:00:00,2019,1,18,17184,5.83,HOEP (Legacy)
2019-01-05 18:00:00,2019,1,19,16913,5.31,HOEP (Legacy)
2019-01-05 19:00:00,2019,1,20,16558,10.34,HOEP (Legacy)
2019-01-05 20:00:00,2019,1,21,16106,5.36,HOEP (Legacy)
