Timestamp,Year,Month,Hour,Ontario Demand,Market_Price,Price_Type
1999-01-01 00:00:00,1999,1,1,10333.777459182442,24.761644203352056,HOEP (Legacy)
1999-01-01 01:00:00,1999,1,2,10928.29679449976,30.22069751107132,HOEP (Legacy)
1999-01-01 02:00:00,1999,1,3,10386.248942530678,-2.819240541344932,HOEP (Legacy)
1999-01-01 03:00:00,1999,1,4,11346.755476460654,40.35068033041876,HOEP (Legacy)
1999-01-01 04:00:00,1999,1,5,11584.721150153136,29.3170888026913,HOEP (Legacy)
1999-01-01 05:00:00,1999,1,6,11646.000127897187,33.10105443469967,HOEP (Legacy)
1999-01-01 06:00:00,1999,1,7,12478.189363877349,47.66948208701206,HOEP (Legacy)
1999-01-01 07:00:00,1999,1,8,12711.101502443196,36.40755424287271,HOEP (Legacy)
1999-01-01 08:00:00,1999,1,9,12322.767261379904,22.49346733841178,HOEP (Legacy)
1999-01-01 09:00:00,1999,1,10,13140.966219188569,35.093789848692076,HOEP (Legacy)
1999-01-01 10:00:00,1999,1,11,12671.849711776698,25.55440498654127,HOEP (Legacy)
1999-01-01 11:00:00,1999,1,12,12942.661756314988,39.045777947401774,HOEP (Legacy)
1999-01-01 12:00:00,1999,1,13,12127.168479835895,33.65300549859036,HOEP (Legacy)
1999-01-01 13:00:00,1999,1,14,11961.309934442892,37.67268021581393,HOEP (Legacy)
1999-01-01 14:00:00,1999,1,15,12641.556078877455,40.101128930936,HOEP (Legacy)
1999-01-01 15:00:00,1999,1,16,12132.289635051,11.170086222976988,HOEP (Legacy)
1999-01-01 16:00:00,1999,1,17,11357.841825658488,18.18125358993924,HOEP (Legacy)
1999-01-01 17:00:00,1999,1,18,10867.563875262555,19.15085258867458,HOEP (Legacy)
1999-01-01 18:00:00,1999,1,19,10998.817401102644,43.956994408600266,HOEP (Legacy)
1999-01-01 19:00:00,1999,1,20,10595.280100943462,11.507063719525009,HOEP (Legacy)
1999-01-01 20:00:00,1999,1,21,10431.733356650791,22.30324803835666,HOEP (Legacy)
1999-01-01 21:00:00,1999,1,22,9816.09847301606,17.77934221067241,HOEP (Legacy)
1999-01-01 22:00:00,1999,1,23,9565.216505978857,20.744179226776943,HOEP (Legacy)
1999-01-01 23:00:00,1999,1,24,10244.25651093767,32.89129361078234,HOEP (Legacy)
1999-01-02 00:00:00,1999,1,1,10128.434264738911,22.328186297850092,HOEP (Legacy)
1999-01-02 01:00:00,1999,1,2,10100.297583574811,34.970314224830226,HOEP (Legacy)
1999-01-02 02:00:00,1999,1,3,10861.388766658096,28.819486897912718,HOEP (Legacy)
1999-01-02 03:00:00,1999,1,4,11227.175391936022,18.555713019598215,HOEP (Legacy)
1999-01-02 04:00:00,1999,1,5,11297.332122309377,37.87746404390394,HOEP (Legacy)
1999-01-02 05:00:00,1999,1,6,12060.271033267116,37.226044621989566,HOEP (Legacy)
1999-01-02 06:00:00,1999,1,7,12250.002566779982,12.855590955960945,HOEP (Legacy)
1999-01-02 07:00:00,1999,1,8,12689.499883779943,39.53758814751728,HOEP (Legacy)
1999-01-02 08:00:00,1999,1,9,12285.631060304346,23.921689273042055,HOEP (Legacy)
1999-01-02 09:00:00,1999,1,10,12591.007088799886,17.939964738475133,HOEP (Legacy)
1999-01-02 10:00:00,1999,1,11,12454.55186318904,25.822776424389616,HOEP (Legacy)
1999-01-02 11:00:00,1999,1,12,13162.717545520514,22.581848917391277,HOEP (Legacy)
1999-01-02 12:00:00,1999,1,13,12759.714310422438,31.614496853383063,HOEP (Legacy)
1999-01-02 13:00:00,1999,1,14,12514.628647961488,9.324220357651821,HOEP (Legacy)
1999-01-02 14:00:00,1999,1,15,11596.017742180904,31.500497185383516,HOEP (Legacy)
1999-01-02 15:00:00,1999,1,16,11719.554029600211,18.671887534957108,HOEP (Legacy)
1999-01-02 16:00:00,1999,1,17,11661.730432435997,39.22241818432839,HOEP (Legacy)
1999-01-02 17:00:00,1999,1,18,11240.42488726703,37.8162366784023,HOEP (Legacy)
1999-01-02 18:00:00,1999,1,19,10859.75360307851,25.895160629486703,HOEP (Legacy)
1999-01-02 19:00:00,1999,1,20,10729.458026268712,30.319363234787225,HOEP (Legacy)
1999-01-02 20:00:00,1999,1,21,9847.405103470015,32.525157446933875,HOEP (Legacy)
1999-01-02 21:00:00,1999,1,22,10100.39655260328,-0.4320678611435369,HOEP (Legacy)
1999-01-02 22:00:00,1999,1,23,10812.144739922162,22.533731741306674,HOEP (Legacy)
1999-01-02 23:00:00,1999,1,24,10314.13184691535,-5.752630966991845,HOEP (Legacy)
1999-01-03 00:00:00,1999,1,1,10562.37973239554,-6.5971229103162266,HOEP (Legacy)
1999-01-03 01:00:00,1999,1,2,11077.568569001844,32.92721349005733,HOEP (Legacy)
1999-01-03 02:00:00,1999,1,3,10183.299327996465,7.239756530214253,HOEP (Legacy)
1999-01-03 03:00:00,1999,1,4,11822.809735285617,27.95658966313951,HOEP (Legacy)
1999-01-03 04:00:00,1999,1,5,11544.121050959091,11.907430987070295,HOEP (Legacy)
1999-01-03 05:00:00,1999,1,6,11799.146326336042,45.095148011108215,HOEP (Legacy)
1999-01-03 06:00:00,1999,1,7,12262.448851003624,49.475698221025105,HOEP (Legacy)
1999-01-03 07:00:00,1999,1,8,13022.942619362664,48.09984582769184,HOEP (Legacy)
1999-01-03 08:00:00,1999,1,9,12519.002875590908,39.65844131614613,HOEP (Legacy)
1999-01-03 09:00:00,1999,1,10,12872.533231093032,41.24861192082336,HOEP (Legacy)
1999-01-03 10:00:00,1999,1,11,13082.862350175226,27.73004016489145,HOEP (Legacy)
1999-01-03 11:00:00,1999,1,12,12726.849960727139,37.614898240088834,HOEP (Legacy)
1999-01-03 12:00:00,1999,1,13,13051.652194663815,43.613078724849615,HOEP (Legacy)
1999-01-03 13:00:00,1999,1,14,12451.28775110158,35.87537606347348,HOEP (Legacy)
1999-01-03 14:00:00,1999,1,15,12477.192971338633,27.187906683294216,HOEP (Legacy)
1999-01-03 15:00:00,1999,1,16,10921.81962633595,29.386644268182813,HOEP (Legacy)
1999-01-03 16:00:00,1999,1,17,11345.667757503265,37.868532990683576,HOEP (Legacy)
1999-01-03 17:00:00,1999,1,18,11337.121345252483,14.17643317987072,HOEP (Legacy)
1999-01-03 18:00:00,1999,1,19,10901.202118422121,15.996568588741976,HOEP (Legacy)
1999-01-03 19:00:00,1999,1,20,10293.12281739385,24.663320754820155,HOEP (Legacy)
1999-01-03 20:00:00,1999,1,21,9777.595227938646,29.48766210617983,HOEP (Legacy)
1999-01-03 21:00:00,1999,1,22,10545.012693045626,7.352267363320248,HOEP (Legacy)
1999-01-03 22:00:00,1999,1,23,10103.52133030518,31.346890325197325,HOEP (Legacy)
1999-01-03 23:00:00,1999,1,24,10970.769058460632,-6.532818548194292,HOEP (Legacy)
1999-01-04 00:00:00,1999,1,1,10728.003399129968,12.670778265830968,HOEP (Legacy)
1999-01-04 01:00:00,1999,1,2,10463.12851532831,34.27989110260826,HOEP (Legacy)
1999-01-04 02:00:00,1999,1,3,10879.028836881873,40.510538915873255,HOEP (Legacy)
1999-01-04 03:00:00,1999,1,4,10932.353743380065,23.777635351010016,HOEP (Legacy)
